Code,Name,Ticker,Sector
5121,HEKTAR REAL ESTATE INVESTMENT TRUST,5121.KL,N/A
4324,HENGYUAN REFINING COMPANY BERHAD,4324.KL,N/A
5095,HEVEABOARD BERHAD,5095.KL,N/A
3298,HEXZA CORPORATION BERHAD,3298.KL,N/A
5072,HIAP TECK VENTURE BERHAD,5072.KL,N/A
5199,HIBISCUS PETROLEUM BERHAD,5199.KL,N/A
8443,HIL INDUSTRIES BERHAD,8443.KL,N/A
5169,HO HUP CONSTRUCTION COMPANY BHD,5169.KL,N/A
9601,HO WAH GENTING BERHAD,9601.KL,N/A
5165,HOCK HENG STONE INDUSTRIES BHD,5165.KL,N/A
6238,HOCK SENG LEE BERHAD,6238.KL,N/A
5160,HOMERITZ CORPORATION BERHAD,5160.KL,N/A
5819,HONG LEONG BANK BERHAD,5819.KL,N/A
5274,HONG LEONG CAPITAL BERHAD,5274.KL,N/A
1082,HONG LEONG FINANCIAL GROUP BERHAD,1082.KL,N/A
3301,HONG LEONG INDUSTRIES BERHAD,3301.KL,N/A
0185,HSS ENGINEERS BERHAD,0185.KL,N/A
5062,HUA YANG BERHAD,5062.KL,N/A
7013,HUBLINE BERHAD,7013.KL,N/A
5000,HUME INDUSTRIES BERHAD,5000.KL,N/A
5024,HUP SENG INDUSTRIES BERHAD,5024.KL,N/A
8478,HWA TAI INDUSTRIES BERHAD,8478.KL,N/A
4251,I-BERHAD,4251.KL,N/A
5084,IBRACO BERHAD,5084.KL,N/A
5108,ICAPITAL.BIZ BERHAD,5108.KL,N/A
5255,ICON OFFSHORE BERHAD,5255.KL,N/A
9687,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,9687.KL,N/A
5606,IGB BERHAD,5606.KL,N/A
5227,IGB REAL ESTATE INVESTMENT TRUST,5227.KL,N/A
5225,IHH HEALTHCARE BERHAD,5225.KL,N/A
3336,IJM CORPORATION BERHAD,3336.KL,N/A
2216,IJM PLANTATIONS BERHAD,2216.KL,N/A
5268,IKHMAS JAYA GROUP BERHAD,5268.KL,N/A
7222,IMASPRO CORPORATION BERHAD,7222.KL,N/A
0166,INARI AMERTRON BERHAD,0166.KL,N/A
2607,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607.KL,N/A
9393,INDUSTRONICS BERHAD,9393.KL,N/A
6262,INNOPRISE PLANTATIONS BERHAD,6262.KL,N/A
3379,INSAS BERHAD,3379.KL,N/A
0192,INTA BINA GROUP BERHAD,0192.KL,N/A
5614,INTEGRATED LOGISTICS BHD,5614.KL,N/A
1961,IOI CORPORATION BERHAD,1961.KL,N/A
5249,IOI PROPERTIES GROUP BERHAD,5249.KL,N/A
5673,IPMUDA BERHAD,5673.KL,N/A
5107,IQ GROUP HOLDINGS BERHAD,5107.KL,N/A
7183,IRE-TEX CORPORATION BERHAD,7183.KL,N/A
8834,IREKA CORPORATION BERHAD,8834.KL,N/A
1589,ISKANDAR WATERFRONT CITY BERHAD,1589.KL,N/A
5175,IVORY PROPERTIES GROUP BERHAD,5175.KL,N/A
7223,JADI IMAGING HOLDINGS BERHAD,7223.KL,N/A
4723,JAKS RESOURCES BERHAD,4723.KL,N/A
8648,JASA KITA BERHAD,8648.KL,N/A
4383,JAYA TIASA HOLDINGS BHD,4383.KL,N/A
7152,JAYCORP BERHAD,7152.KL,N/A
0058,JCBNEXT BERHAD,0058.KL,N/A
5161,JCY INTERNATIONAL BERHAD,5161.KL,N/A
8931,JERASIA CAPITAL BERHAD,8931.KL,N/A
8923,JIANKUN INTERNATIONAL BERHAD,8923.KL,N/A
6769,JKG LAND BERHAD,6769.KL,N/A
7043,JMR CONGLOMERATION BERHAD,7043.KL,N/A
3441,JOHAN HOLDINGS BERHAD,3441.KL,N/A
7167,JOHORE TIN BERHAD,7167.KL,N/A
5172,K-STAR SPORTS LIMITED,5172.KL,N/A
5192,K.SENG SENG CORPORATION BERHAD,5192.KL,N/A
8672,KAMDAR GROUP (M) BERHAD,8672.KL,N/A
3115,KARAMBUNAI CORP BHD,3115.KL,N/A
5247,KAREX BERHAD,5247.KL,N/A
0054,KARYON INDUSTRIES BERHAD,0054.KL,N/A
7216,KAWAN FOOD BERHAD,7216.KL,N/A
3476,KECK SENG (MALAYSIA) BERHAD,3476.KL,N/A
7199,KEIN HING INTERNATIONAL BERHAD,7199.KL,N/A
0151,KELINGTON GROUP BERHAD,0151.KL,N/A
7323,KEN HOLDINGS BERHAD,7323.KL,N/A
6483,KENANGA INVESTMENT BANK BERHAD,6483.KL,N/A
7161,KERJAYA PROSPEK GROUP BERHAD,7161.KL,N/A
9334,KESM INDUSTRIES BERHAD,9334.KL,N/A
0143,KEY ASIC BERHAD,0143.KL,N/A
6203,KHEE SAN BERHAD,6203.KL,N/A
7062,KHIND HOLDINGS BERHAD,7062.KL,N/A
6211,KIA LIM BERHAD,6211.KL,N/A
3522,KIAN JOO CAN FACTORY BERHAD,3522.KL,N/A
5371,KIM HIN INDUSTRY BERHAD,5371.KL,N/A
5027,KIM LOONG RESOURCES BERHAD,5027.KL,N/A
5171,KIMLUN CORPORATION BERHAD,5171.KL,N/A
5060,KINSTEEL BHD,5060.KL,N/A
5280,KIP REAL ESTATE INVESTMENT TRUST,5280.KL,N/A
9466,KKB ENGINEERING BERHAD,9466.KL,N/A
KLCC+PROPERTY+HOLDINGS+BERHAD,KLCC PROPERTY HOLDINGS BERHAD,KLCC+PROPERTY+HOLDINGS+BERHAD.KL,N/A
KLCC+REAL+ESTATE+INVESTMENT+TRUST,KLCC REAL ESTATE INVESTMENT TRUST,KLCC+REAL+ESTATE+INVESTMENT+TRUST.KL,N/A
5235SS,KLUANG RUBBER COMPANY (MALAYA) BERHAD,5235SS.KL,N/A
5035,KNUSFORD BERHAD,5035.KL,N/A
6971,KOBAY TECHNOLOGY BERHAD,6971.KL,N/A
7017,KOMARKCORP BERHAD,7017.KL,N/A
4847,KONSORTIUM TRANSNASIONAL BERHAD,4847.KL,N/A
7153,KOSSAN RUBBER INDUSTRIES BERHAD,7153.KL,N/A
0002,KOTRA INDUSTRIES BERHAD,0002.KL,N/A
5878,KPJ HEALTHCARE BERHAD,5878.KL,N/A
9121,KPS CONSORTIUM BERHAD,9121.KL,N/A
1996,KRETAM HOLDINGS BERHAD,1996.KL,N/A
5038,KSL HOLDINGS BERHAD,5038.KL,N/A
2445,KUALA LUMPUR KEPONG BERHAD,2445.KL,N/A
8303,KUANTAN FLOUR MILLS BHD,8303.KL,N/A
6874,KUB MALAYSIA BERHAD,6874.KL,N/A
2186,KUCHAI DEVELOPMENT BERHAD,2186.KL,N/A
6491,KUMPULAN FIMA BERHAD,6491.KL,N/A
7033,KUMPULAN H & L HIGH-TECH BERHAD,7033.KL,N/A
9083,KUMPULAN JETSON BERHAD,9083.KL,N/A
5843,KUMPULAN PERANGSANG SELANGOR BERHAD,5843.KL,N/A
7130,KUMPULAN POWERNET BERHAD,7130.KL,N/A
6572,KWANTAS CORPORATION BERHAD,6572.KL,N/A
8362,KYM HOLDINGS BERHAD,8362.KL,N/A
3794,LAFARGE MALAYSIA BERHAD,3794.KL,N/A
3174,LAND & GENERAL BERHAD,3174.KL,N/A
1643,LANDMARKS BERHAD,1643.KL,N/A
7006,LATITUDE TREE HOLDINGS BERHAD,7006.KL,N/A
9385,LAY HONG BERHAD,9385.KL,N/A
9326,LB ALUMINIUM BERHAD,9326.KL,N/A
8494,LBI CAPITAL BERHAD,8494.KL,N/A
5789,LBS BINA GROUP BERHAD,5789.KL,N/A
9881,LEADER STEEL HOLDINGS BERHAD,9881.KL,N/A
9628,LEBTECH BERHAD,9628.KL,N/A
8079,LEE SWEE KIAT GROUP BERHAD,8079.KL,N/A
5232,LEON FUAT BERHAD,5232.KL,N/A
8745,LEWEKO RESOURCES BERHAD,8745.KL,N/A
7170,LFE CORPORATION BERHAD,7170.KL,N/A
3573,LIEN HOE CORPORATION BERHAD,3573.KL,N/A
7089,LII HEN INDUSTRIES BHD.,7089.KL,N/A
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD,6645.KL,N/A
8486,LION FOREST INDUSTRIES BERHAD,8486.KL,N/A
4235,LION INDUSTRIES CORPORATION BERHAD,4235.KL,N/A
7126,LONDON BISCUITS BERHAD,7126.KL,N/A
5284,LOTTE CHEMICAL TITAN HOLDING BERHAD,5284.KL,N/A
8621,LPI CAPITAL BHD,8621.KL,N/A
7085,LTKM BERHAD,7085.KL,N/A
5068,LUSTER INDUSTRIES BHD.,5068.KL,N/A
5143,LUXCHEM CORPORATION BERHAD,5143.KL,N/A
9199,LYSAGHT GALVANIZED STEEL BERHAD,9199.KL,N/A
1198,MAA GROUP BERHAD,1198.KL,N/A
7617,MAGNA PRIMA BERHAD,7617.KL,N/A
7087,MAGNI-TECH INDUSTRIES BERHAD,7087.KL,N/A
3859,MAGNUM BERHAD,3859.KL,N/A
8583,MAH SING GROUP BERHAD,8583.KL,N/A
8141,MAJUPERAK HOLDINGS BERHAD,8141.KL,N/A
5264,MALAKOFF CORPORATION BERHAD,5264.KL,N/A
1155,MALAYAN BANKING BERHAD,1155.KL,N/A
3662,MALAYAN FLOUR MILLS BERHAD,3662.KL,N/A
